,movieId,recommendation,title,genres,year
18355,91529,0.9130434782608695,"Dark Knight Rises, The","['Action', 'Adventure', 'Crime', 'IMAX']",2012
26442,122787,0.782608695652174,The 39 Steps,"['Action', 'Adventure', 'Comedy', 'Crime', 'Drama', 'Thriller']",1959
16055,81132,0.782608695652174,Rubber,"['Action', 'Adventure', 'Comedy', 'Crime', 'Drama', 'Film-Noir', 'Horror', 'Mystery', 'Thriller', 'Western']",2010
5559,5657,0.782608695652174,Flashback,"['Action', 'Adventure', 'Comedy', 'Crime', 'Drama']",1990
13250,64645,0.782608695652174,The Wrecking Crew,"['Action', 'Adventure', 'Comedy', 'Crime', 'Drama', 'Thriller']",1968
6879,6990,0.782608695652174,The Great Train Robbery,"['Action', 'Adventure', 'Comedy', 'Crime', 'Drama']",1978
26362,122472,0.7391304347826086,The Karate Dog,"['Action', 'Adventure', 'Children', 'Comedy', 'Crime']",2004
17152,86644,0.7391304347826086,"Fast Five (Fast and the Furious 5, The)","['Action', 'Crime', 'Drama', 'Thriller', 'IMAX']",2011
12764,60074,0.7391304347826086,Hancock,"['Action', 'Adventure', 'Comedy', 'Crime', 'Fantasy']",2008
12720,59844,0.7391304347826086,"Honor Among Thieves (Adieu l'ami) (Farewell, Friend)","['Action', 'Adventure', 'Crime', 'Drama', 'Mystery', 'Thriller']",1968
6394,6503,0.7391304347826086,Charlie's Angels: Full Throttle,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",2003
32587,145146,0.7391304347826086,K-9: P.I.,"['Action', 'Adventure', 'Comedy', 'Crime']",2002
5918,6016,0.7391304347826086,City of God (Cidade de Deus),"['Action', 'Adventure', 'Crime', 'Drama', 'Thriller']",2002
18239,91056,0.7391304347826086,Batman and Robin,"['Action', 'Adventure', 'Crime', 'Drama', 'Sci-Fi']",1949
25670,119603,0.7391304347826086,Down Twisted,"['Action', 'Adventure', 'Crime', 'Drama', 'Thriller']",1987
22062,105974,0.7391304347826086,Assault on a Queen,"['Action', 'Adventure', 'Crime', 'Drama', 'Thriller']",1966
15326,78054,0.7391304347826086,Esa ja Vesa - auringonlaskun ratsastajat,"['Action', 'Adventure', 'Comedy', 'Crime']",1994
8098,8780,0.7391304347826086,"Assassination Bureau, The","['Action', 'Adventure', 'Comedy', 'Crime', 'Sci-Fi']",1969
26440,122783,0.7391304347826086,Stick,"['Action', 'Adventure', 'Crime', 'Drama']",1985
12540,58559,0.7391304347826086,"Dark Knight, The","['Action', 'Crime', 'Drama', 'IMAX']",2008
18330,91423,0.7391304347826086,99 and 44/100% Dead,"['Action', 'Adventure', 'Comedy', 'Crime']",1974
18361,91542,0.7391304347826086,Sherlock Holmes: A Game of Shadows,"['Action', 'Adventure', 'Comedy', 'Crime', 'Mystery', 'Thriller']",2011
151,153,0.7391304347826086,Batman Forever,"['Action', 'Adventure', 'Comedy', 'Crime']",1995
26327,122339,0.7391304347826086,Walking Tall: The Payback,"['Action', 'Adventure', 'Crime', 'Drama', 'Thriller']",2007
25485,118782,0.7391304347826086,Fat Pizza,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",2003
25597,119145,0.7391304347826086,Kingsman: The Secret Service,"['Action', 'Adventure', 'Comedy', 'Crime']",2015
110,112,0.7391304347826086,Rumble in the Bronx (Hont faan kui),"['Action', 'Adventure', 'Comedy', 'Crime']",1995
18559,92222,0.7391304347826086,Broken Trail,"['Action', 'Adventure', 'Crime', 'Drama', 'Western']",2006
7151,7262,0.7391304347826086,Catch That Kid,"['Action', 'Adventure', 'Children', 'Comedy', 'Crime']",2004
31950,142921,0.7391304347826086,Essex Boys: Law of Survival,"['Action', 'Adventure', 'Crime', 'Drama']",2015
11494,49530,0.7391304347826086,Blood Diamond,"['Action', 'Adventure', 'Crime', 'Drama', 'Thriller', 'War']",2006
11249,47538,0.7391304347826086,Crime Busters,"['Action', 'Adventure', 'Comedy', 'Crime']",1977
5705,5803,0.7391304347826086,I Spy,"['Action', 'Adventure', 'Comedy', 'Crime']",2002
13552,67070,0.7391304347826086,Army of One (Joshua Tree),"['Action', 'Adventure', 'Crime', 'Drama', 'Mystery', 'Thriller']",1993
23518,111358,0.7391304347826086,"Small Town in Texas, A","['Action', 'Adventure', 'Crime', 'Drama', 'Romance']",1976
455,459,0.7391304347826086,"Getaway, The","['Action', 'Adventure', 'Crime', 'Drama', 'Romance', 'Thriller']",1994
15825,80219,0.7391304347826086,Machete,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",2010
23719,112214,0.7391304347826086,Born Reckless,"['Action', 'Adventure', 'Crime', 'Drama', 'Romance']",1937
15562,79132,0.7391304347826086,Inception,"['Action', 'Crime', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller', 'IMAX']",2010
7720,8253,0.7391304347826086,Lupin III: The Castle Of Cagliostro (Rupan sansei: Kariosutoro no shiro),"['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Mystery']",1979
15480,78729,0.7391304347826086,24: Redemption,"['Action', 'Adventure', 'Crime', 'Drama', 'Thriller']",2008
32310,144344,0.7391304347826086,Righteous Ties,"['Action', 'Adventure', 'Crime', 'Drama']",2006
9697,31367,0.7391304347826086,"Chase, The","['Action', 'Adventure', 'Comedy', 'Crime', 'Romance', 'Thriller']",1994
16532,83349,0.7391304347826086,"Green Hornet, The","['Action', 'Comedy', 'Crime', 'Fantasy', 'Thriller', 'IMAX']",2011
19519,96601,0.7391304347826086,Icon,"['Action', 'Adventure', 'Crime', 'Drama', 'Thriller']",2005
9671,31221,0.7391304347826086,Elektra,"['Action', 'Adventure', 'Crime', 'Drama']",2005
20057,98558,0.7391304347826086,Dragon Attack,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller', 'War']",1983
11345,48239,0.7391304347826086,Yuva,"['Action', 'Adventure', 'Crime', 'Drama']",2004
8286,8968,0.7391304347826086,After the Sunset,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",2004
19444,96300,0.7391304347826086,Operación Cannabis,"['Action', 'Adventure', 'Comedy', 'Crime']",2009
8672,26184,0.7391304347826086,"Diamond Arm, The (Brilliantovaya ruka)","['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",1968
13005,61707,0.7391304347826086,Ladrón que roba a ladrón,"['Action', 'Adventure', 'Comedy', 'Crime']",2007
23143,109850,0.7391304347826086,Need for Speed,"['Action', 'Crime', 'Drama', 'IMAX']",2014
23116,109764,0.7391304347826086,Steel,"['Action', 'Adventure', 'Crime', 'Drama']",1979
6937,7048,0.7391304347826086,Nothing to Lose,"['Action', 'Adventure', 'Comedy', 'Crime']",1997
32586,145144,0.7391304347826086,Night At The Golden Eagle,"['Action', 'Adventure', 'Crime', 'Drama']",2002
4526,4620,0.7391304347826086,Lock Up,"['Action', 'Adventure', 'Crime', 'Drama', 'Thriller']",1989
24570,115524,0.7391304347826086,Why Me?,"['Action', 'Adventure', 'Comedy', 'Crime']",1990
1095,1118,0.7391304347826086,North Star (a.k.a. Tashunga),"['Action', 'Adventure', 'Crime', 'Drama', 'Western']",1995
24565,115479,0.7391304347826086,"Whip Hand, The","['Action', 'Adventure', 'Crime', 'Drama', 'Sci-Fi', 'Thriller', 'War']",1951
18662,92681,0.6956521739130435,Journey 2: The Mysterious Island,"['Action', 'Adventure', 'Comedy', 'Sci-Fi', 'IMAX']",2012
10676,41753,0.6956521739130435,8 Million Ways to Die,"['Action', 'Adventure', 'Crime', 'Thriller']",1986
8219,8901,0.6956521739130435,Flashpoint,"['Action', 'Adventure', 'Crime', 'Mystery', 'Thriller']",1984
