;movieId;recommendation;title;genres;year
15073;76153;0.7301587301587301;Lupin III: First Contact (Rupan Sansei: Faasuto Kontakuto);['Action', 'Animation', 'Comedy', 'Crime', 'Drama', 'Mystery', 'Romance', 'Thriller'];2002
15001;75408;0.7301587301587301;Lupin III: Sweet Lost Night (Rupan Sansei: Sweet Lost Night);['Action', 'Animation', 'Comedy', 'Crime', 'Drama', 'Mystery', 'Romance', 'Thriller'];2008
16055;81132;0.6878306878306878;Rubber;['Action', 'Adventure', 'Comedy', 'Crime', 'Drama', 'Film-Noir', 'Horror', 'Mystery', 'Thriller', 'Western'];2010
16504;83266;0.6666666666666666;Kaho Naa... Pyaar Hai;['Action', 'Adventure', 'Comedy', 'Drama', 'Mystery', 'Romance', 'Thriller'];2000
4923;5018;0.6613756613756614;Motorama;['Adventure', 'Comedy', 'Crime', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi', 'Thriller'];1991
4625;4719;0.6613756613756614;Osmosis Jones;['Action', 'Animation', 'Comedy', 'Crime', 'Drama', 'Romance', 'Thriller'];2001
8605;26093;0.6349206349206349;Wonderful World of the Brothers Grimm, The;['Adventure', 'Animation', 'Children', 'Comedy', 'Drama', 'Fantasy', 'Musical', 'Romance'];1962
9296;27344;0.6349206349206349;Revolutionary Girl Utena: Adolescence of Utena (a.k.a. Revolutionary Girl Utena the Movie) (Shoujo kakumei Utena: Adolescence mokushiroku);['Action', 'Adventure', 'Animation', 'Comedy', 'Drama', 'Fantasy', 'Romance'];1999
26442;122787;0.6190476190476191;The 39 Steps;['Action', 'Adventure', 'Comedy', 'Crime', 'Drama', 'Thriller'];1959
13250;64645;0.6190476190476191;The Wrecking Crew;['Action', 'Adventure', 'Comedy', 'Crime', 'Drama', 'Thriller'];1968
27514;127341;0.6137566137566137;Longshot;['Action', 'Comedy', 'Crime', 'Drama', 'Romance', 'Thriller'];2001
26108;121370;0.6084656084656085;Happy New Year;['Action', 'Comedy', 'Crime', 'Drama', 'Musical', 'Romance'];2014
33914;150268;0.6084656084656085;Dilwale;['Action', 'Children', 'Comedy', 'Crime', 'Drama', 'Romance'];2015
32307;144338;0.6084656084656085;Holiday;['Action', 'Children', 'Comedy', 'Crime', 'Drama', 'Romance'];2006
26806;124681;0.5978835978835979;Raffles;['Adventure', 'Comedy', 'Crime', 'Drama', 'Romance', 'Thriller'];1939
4861;4956;0.5978835978835979;Stunt Man, The;['Action', 'Adventure', 'Comedy', 'Drama', 'Romance', 'Thriller'];1980
1824;1907;0.5925925925925926;Mulan;['Adventure', 'Animation', 'Children', 'Comedy', 'Drama', 'Musical', 'Romance'];1998
9797;31921;0.5925925925925926;Seven-Per-Cent Solution, The;['Adventure', 'Comedy', 'Crime', 'Drama', 'Mystery', 'Thriller'];1976
24528;115333;0.5925925925925926;Charlie Chan in Panama;['Adventure', 'Comedy', 'Crime', 'Drama', 'Mystery', 'Thriller'];1940
9488;27781;0.5873015873015873;Svidd Neger;['Comedy', 'Crime', 'Drama', 'Horror', 'Mystery', 'Romance', 'Thriller'];2003
13812;69136;0.5873015873015873;Don;['Action', 'Comedy', 'Crime', 'Drama', 'Musical', 'Thriller'];1978
7511;7835;0.582010582010582;Song of the Thin Man;['Comedy', 'Crime', 'Drama', 'Musical', 'Mystery', 'Romance'];1947
455;459;0.5714285714285714;Getaway, The;['Action', 'Adventure', 'Crime', 'Drama', 'Romance', 'Thriller'];1994
6793;6902;0.5661375661375662;Interstate 60;['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi', 'Thriller'];2002
5559;5657;0.5661375661375662;Flashback;['Action', 'Adventure', 'Comedy', 'Crime', 'Drama'];1990
6879;6990;0.5661375661375662;The Great Train Robbery;['Action', 'Adventure', 'Comedy', 'Crime', 'Drama'];1978
25218;117646;0.5661375661375662;Dragonheart 2: A New Beginning;['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Thriller'];2000
12720;59844;0.5661375661375662;Honor Among Thieves (Adieu l'ami) (Farewell, Friend);['Action', 'Adventure', 'Crime', 'Drama', 'Mystery', 'Thriller'];1968
13552;67070;0.5661375661375662;Army of One (Joshua Tree);['Action', 'Adventure', 'Crime', 'Drama', 'Mystery', 'Thriller'];1993
22095;106078;0.5608465608465608;Great Texas Dynamite Chase, The;['Action', 'Comedy', 'Crime', 'Drama', 'Romance'];1976
9000;26701;0.5608465608465608;Patlabor: The Movie (Kidô keisatsu patorebâ: The Movie);['Action', 'Animation', 'Crime', 'Drama', 'Film-Noir', 'Mystery', 'Sci-Fi', 'Thriller'];1989
19873;97940;0.5555555555555556;Saint in London, The;['Action', 'Comedy', 'Crime', 'Drama', 'Mystery'];1939
10704;42015;0.544973544973545;Casanova;['Action', 'Adventure', 'Comedy', 'Drama', 'Romance'];2005
22778;108540;0.544973544973545;Ernest & Célestine (Ernest et Célestine);['Adventure', 'Animation', 'Children', 'Comedy', 'Drama', 'Romance'];2012
14889;74438;0.544973544973545;Legend of the Red Dragon (a.k.a. New Legend of Shaolin, The) (Hong Xi Guan: Zhi Shao Lin wu zu);['Action', 'Adventure', 'Comedy', 'Drama', 'Romance'];1994
953;970;0.544973544973545;Beat the Devil;['Adventure', 'Comedy', 'Crime', 'Drama', 'Romance'];1953
8710;26236;0.544973544973545;White Sun of the Desert, The (Beloe solntse pustyni);['Action', 'Adventure', 'Comedy', 'Drama', 'Romance', 'War'];1970
14397;71999;0.544973544973545;Aelita: The Queen of Mars (Aelita);['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance', 'Sci-Fi', 'Thriller'];1924
