,movieId,title,genres,year
196,198,Strange Days,"['Action', 'Crime', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']",1995
455,459,"Getaway, The","['Action', 'Adventure', 'Crime', 'Drama', 'Romance', 'Thriller']",1994
1365,1396,Sneakers,"['Action', 'Comedy', 'Crime', 'Drama', 'Sci-Fi']",1992
1824,1907,Mulan,"['Adventure', 'Animation', 'Children', 'Comedy', 'Drama', 'Musical', 'Romance']",1998
4625,4719,Osmosis Jones,"['Action', 'Animation', 'Comedy', 'Crime', 'Drama', 'Romance', 'Thriller']",2001
4861,4956,"Stunt Man, The","['Action', 'Adventure', 'Comedy', 'Drama', 'Romance', 'Thriller']",1980
4923,5018,Motorama,"['Adventure', 'Comedy', 'Crime', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi', 'Thriller']",1991
5559,5657,Flashback,"['Action', 'Adventure', 'Comedy', 'Crime', 'Drama']",1990
6793,6902,Interstate 60,"['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi', 'Thriller']",2002
6879,6990,The Great Train Robbery,"['Action', 'Adventure', 'Comedy', 'Crime', 'Drama']",1978
7720,8253,Lupin III: The Castle Of Cagliostro (Rupan sansei: Kariosutoro no shiro),"['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Mystery']",1979
8098,8780,"Assassination Bureau, The","['Action', 'Adventure', 'Comedy', 'Crime', 'Sci-Fi']",1969
8605,26093,"Wonderful World of the Brothers Grimm, The","['Adventure', 'Animation', 'Children', 'Comedy', 'Drama', 'Fantasy', 'Musical', 'Romance']",1962
9000,26701,Patlabor: The Movie (Kidô keisatsu patorebâ: The Movie),"['Action', 'Animation', 'Crime', 'Drama', 'Film-Noir', 'Mystery', 'Sci-Fi', 'Thriller']",1989
